,people_count,largeroom_temp,smallroom_temp,bathroom_temp,largeroom_hum,smallroom_hum,bathroom_hum,largeroom_presence,smallroom_presence,bathroom_presence
140,0.0,19.779583333333335,19.530680555555552,19.28177777777777,74.11687499999998,74.99499305555554,75.87311111111109,0.0,0.0,0.0
141,0.0,21.100238095238097,20.77806680881307,20.45589552238804,68.49238095238096,69.79242181947403,71.0924626865671,0.0,8.291266855790837e-05,0.0
142,0.0,19.478644067796616,19.709322033898307,19.939999999999998,69.88533898305087,70.56047901533496,71.23561904761905,0.005257139066834028,0.008141831495474202,0.0064330618390752775
143,4.0,20.466833333333348,20.838589080459776,21.21034482758621,65.49191666666667,64.77350143678161,64.05508620689656,0.03515626630512501,0.03847041983296909,0.08834175127136921
144,4.0,22.34492307692309,23.386219927723285,24.42751677852348,63.19799999999997,61.355577181208034,59.5131543624161,0.006703234777937161,0.022581148156941688,0.0720248181036842
145,4.0,23.76149999999999,24.659204106280182,25.556908212560373,65.74687500000005,64.67268870772949,63.59850241545895,0.01791253789035674,0.027436666456243593,0.09392431566383877
146,4.0,23.09753768844219,24.469941921144198,25.8423461538462,67.4354271356784,62.04913664476227,56.66284615384615,0.07392861817821517,0.05171765369824891,0.0980972662856448
147,0.0,20.01714285714287,21.347635944700475,22.67812903225808,62.583730158730155,60.03667153097798,57.489612903225805,0.0037519900603377805,0.005836597005613223,0.014605700988948287
148,0.0,19.020999999999994,19.94747183098591,20.87394366197183,68.14985714285713,64.83591448692152,61.52197183098593,0.0021611105147762238,0.0030854572272483722,0.00014230750220894575
149,0.0,19.011707317073167,19.907567944250864,20.80342857142856,75.51463414634149,70.8226742160279,66.1307142857143,0.0,0.0,0.0
150,4.0,19.437450980392157,20.247882116702108,21.058313253012056,67.53049019607843,64.69193184502717,61.8533734939759,0.0,0.0,0.0
151,4.0,19.183367346938766,19.995780895691603,20.808194444444442,66.14775510204079,63.081308106575946,60.014861111111095,0.0,0.0,0.0
152,4.0,18.820412371134015,19.770458710819533,20.720505050505054,68.67350515463922,65.12756065812769,61.581616161616154,0.0003325323243760373,0.00043560928153501866,0.00014527724706607325
153,4.0,22.699388888888887,21.537648989898997,20.375909090909104,58.95083333333329,64.67359848484847,70.39636363636365,0.009328147597903161,0.00025115573473110053,0.0186370474433175
154,4.0,22.516000000000012,22.507763779527572,22.49952755905513,52.16512500000001,56.34752312992126,60.52992125984251,0.010295401809954656,0.0,0.029400150471343728
155,4.0,19.217094017094002,20.26862765370829,21.320161290322577,62.74854700854702,59.6389106010477,56.529274193548375,0.00033541105761059715,0.0012846803144223576,0.00030681712134518
156,0.0,19.38768939393942,20.24580041652692,21.103911439114412,65.22481060606061,62.76375216649892,60.30269372693723,0.003408438671453755,0.0030413141129585156,0.007839073330162765
157,0.0,17.063571428571432,17.615960972017678,18.168350515463924,60.87948979591834,58.87871397012414,56.87793814432993,0.0,0.0,0.0
158,0.0,16.053384615384612,16.444351037851032,16.83531746031745,63.50723076923076,62.10762332112331,60.70801587301587,0.0,0.0,0.0
159,0.0,15.847605633802814,16.126385461529516,16.405165289256214,66.22849765258215,64.97187279323325,63.71524793388433,0.0,0.0,0.0
160,0.0,15.603505747126453,15.838400918255964,16.073296089385472,66.94735632183907,65.53728151287484,64.12720670391062,0.0,0.0,0.0
161,0.0,13.288062500000006,13.736577262269945,14.185092024539884,50.16274999999999,48.39631365030675,46.62987730061352,0.0,0.0,0.0
